1,節分,
2,ミラノ勅令発布。ローマ帝国がキリスト教を公認(313年),313
3,バルトロメウ・ディアスがアフリカ大陸南端に到達(1488年),1488
4,チューリップ・バブル崩壊(1637年),1637
5,福澤諭吉死去(1901年、雪池忌),1901
6,通化事件(1946年),1946
7,ソビエト連邦の無人宇宙探査機「ルナ9号」が史上初めて月面軟着陸に成功(1966年),1966
8,札幌オリンピック開幕(1972年),1972
9,Netscapeブラウザのソースコードの公開方法の会議の中で、初めてオープンソースという言葉が使われる(1998年),1998
